lemma,upos,HS_entry_ref
),PUNCT,31
Live,ADJ,32
camel,NOUN,32
and,CCONJ,32
other,ADJ,32
camelid,NOUN,32
[,PUNCT,32
Camelidae,PROPN,32
],PUNCT,32
Live,ADJ,33
rabbit,NOUN,33
and,CCONJ,33
hare,NOUN,33
Live,ADJ,34
mammal,NOUN,34
(,PUNCT,34
excl,INTJ,34
.,PUNCT,34
primate,NOUN,34
",",PUNCT,34
whale,NOUN,34
",",PUNCT,34
dolphin,NOUN,34
and,CCONJ,34
porpoise,NOUN,34
",",PUNCT,34
manatee,NOUN,34
and,CCONJ,34
dugong,NOUN,34
",",PUNCT,34
seals,NOUN,34
",",PUNCT,34
sea,NOUN,34
lion,NOUN,34
and,CCONJ,34
walruse,NOUN,34
",",PUNCT,34
camel,NOUN,34
and,CCONJ,34
other,ADJ,34
camelid,NOUN,34
",",PUNCT,34
rabbit,NOUN,34
and,CCONJ,34
hare,NOUN,34
",",PUNCT,34
horse,NOUN,34
",",PUNCT,34
asse,NOUN,34
",",PUNCT,34
mule,NOUN,34
",",PUNCT,34
hinny,NOUN,34
",",PUNCT,34
bovine,NOUN,34
",",PUNCT,34
pig,NOUN,34
",",PUNCT,34
sheep,NOUN,34
and,CCONJ,34
goat,NOUN,34
),PUNCT,34
Live,ADJ,35
reptile,NOUN,35
"""",PUNCT,35
e.g.,X,35
snake,NOUN,35
",",PUNCT,35
turtle,NOUN,35
",",PUNCT,35
alligator,NOUN,35
",",PUNCT,35
cayman,NOUN,35
",",PUNCT,35
iguana,NOUN,35
",",PUNCT,35
gavial,NOUN,35
and,CCONJ,35
lizard,NOUN,35
"""",PUNCT,35
Live,ADJ,36
bird,NOUN,36
of,ADP,36
prey,NOUN,36
Live,ADJ,37
psittaciforme,NOUN,37
"""",PUNCT,37
incl,INTJ,37
.,PUNCT,37
parrot,NOUN,37
",",PUNCT,37
parrakeet,NOUN,37
",",PUNCT,37
macaw,NOUN,37
and,CCONJ,37
cockatoo,NOUN,37
"""",PUNCT,37
Live,ADJ,38
ostrich,NOUN,38
",",PUNCT,38
and,CCONJ,38
emus,PRON,38
[,PUNCT,38
Dromaius,CCONJ,38
novaehollandia,NOUN,38
],PUNCT,38
Live,ADJ,39
bird,NOUN,39
(,PUNCT,39
excl,INTJ,39
.,PUNCT,39
bird,NOUN,39
of,ADP,39
prey,NOUN,39
",",PUNCT,39
psittaciforme,NOUN,39
",",PUNCT,39
parrot,NOUN,39
",",PUNCT,39
parrakeet,NOUN,39
",",PUNCT,39
macaw,NOUN,39
",",PUNCT,39
cockatoo,NOUN,39
",",PUNCT,39
ostrich,NOUN,39
and,CCONJ,39
emus,NOUN,39
),PUNCT,39
Live,ADJ,40
be,NOUN,40
Live,ADJ,41
insect,NOUN,41
(,PUNCT,41
excl,INTJ,41
.,PUNCT,41
be,NOUN,41
),PUNCT,41
Live,ADJ,42
animal,NOUN,42
(,PUNCT,42
excl,INTJ,42
.,PUNCT,42
mammal,NOUN,42
",",PUNCT,42
reptile,NOUN,42
",",PUNCT,42
bird,NOUN,42
",",PUNCT,42
insect,NOUN,42
",",PUNCT,42
fish,NOUN,42
",",PUNCT,42
crustacean,NOUN,42
",",PUNCT,42
mollusc,NOUN,42
and,CCONJ,42
other,ADJ,42
aquatic,ADJ,42
invertebrate,NOUN,42
and,CCONJ,42
culture,NOUN,42
of,ADP,42
micro-organism,NOUN,42
",",PUNCT,42
etc.,X,42
),PUNCT,42
meat,VERB,43
and,CCONJ,43
edible,VERB,43
meat,X,43
Offal,X,43
meat,NOUN,44
of,ADP,44
bovine,NUM,44
animal,NOUN,44
",",PUNCT,44
fresh,ADJ,44
or,CCONJ,44
chill,VERB,44
Carcase,NOUN,45
or,CCONJ,45
half,NOUN,45
-,PUNCT,45
carcase,NOUN,45
of,ADP,45
bovine,NOUN,45
animal,NOUN,45
",",PUNCT,45
fresh,ADJ,45
or,CCONJ,45
chill,VERB,45
Fresh,PROPN,46
or,CCONJ,46
chill,VERB,46
bovine,NUM,46
cut,NOUN,46
",",PUNCT,46
with,ADP,46
bone,NUM,46
in,ADP,46
(,PUNCT,46
excl,INTJ,46
.,PUNCT,46
carcase,NOUN,46
and,CCONJ,46
1,NUM,46
/,SYM,46
2,NUM,46
carcase,NOUN,46
),PUNCT,46
Fresh,PROPN,47
or,CCONJ,47
chill,VERB,47
bovine,NUM,47
meat,NOUN,47
",",PUNCT,47
boneless,NOUN,47
meat,NOUN,48
of,ADP,48
bovine,NUM,48
animal,NOUN,48
",",PUNCT,48
freeze,VERB,48
freeze,ADJ,49
bovine,NUM,49
carcase,NOUN,49
and,CCONJ,49
half,NOUN,49
-,PUNCT,49
carcase,NOUN,49
freeze,ADJ,50
bovine,NOUN,50
cut,NOUN,50
",",PUNCT,50
with,ADP,50
bone,NUM,50
in,ADP,50
(,PUNCT,50
excl,INTJ,50
.,PUNCT,50
carcase,NOUN,50
and,CCONJ,50
half,NOUN,50
-,PUNCT,50
carcase,NOUN,50
),PUNCT,50
frozen,PROPN,51
",",PUNCT,51
boneless,ADJ,51
meat,NOUN,51
of,ADP,51
bovine,NUM,51
animal,NOUN,51
meat,NOUN,52
of,ADP,52
swine,NUM,52
",",PUNCT,52
fresh,ADJ,52
",",PUNCT,52
chill,VERB,52
or,CCONJ,52
freeze,VERB,52
Fresh,PROPN,53
or,CCONJ,53
chill,VERB,53
carcase,NOUN,53
and,CCONJ,53
half,NOUN,53
-,PUNCT,53
carcase,NOUN,53
of,ADP,53
swine,NOUN,53
Fresh,PROPN,54
or,CCONJ,54
chill,VERB,54
ham,NOUN,54
",",PUNCT,54
shoulders,NOUN,54
and,CCONJ,54
cut,NOUN,54
thereon,ADP,54
of,ADP,54
swine,NOUN,54
",",PUNCT,54
with,ADP,54
bone,NOUN,54
in,ADP,54
Fresh,PROPN,55
or,CCONJ,55
chill,VERB,55
meat,NOUN,55
of,ADP,55
swine,NOUN,55
(,PUNCT,55
excl,INTJ,55
.,PUNCT,55
carcase,NOUN,55
and,CCONJ,55
half,NOUN,55
-,PUNCT,55
carcase,NOUN,55
",",PUNCT,55
and,CCONJ,55
hams,NOUN,55
",",PUNCT,55
shoulder,NOUN,55
and,CCONJ,55
cut,NOUN,55
thereon,ADV,55
",",PUNCT,55
with,ADP,55
bone,NOUN,55
in,ADP,55
),PUNCT,55
freeze,ADJ,56
carcase,NOUN,56
and,CCONJ,56
half,NOUN,56
-,PUNCT,56
carcase,NOUN,56
of,ADP,56
swine,NOUN,56
freeze,ADJ,57
ham,NOUN,57
",",PUNCT,57
shoulders,NOUN,57
and,CCONJ,57
cut,NOUN,57
thereon,ADP,57
of,ADP,57
swine,NOUN,57
",",PUNCT,57
with,ADP,57
bone,NUM,57
in,ADP,57
freeze,ADJ,58
meat,NOUN,58
of,ADP,58
swine,NUM,58
(,PUNCT,58
excl,NOUN,58
.,PUNCT,58
carcase,NOUN,58
and,CCONJ,58
half,NOUN,58
-,PUNCT,58
carcase,NOUN,58
",",PUNCT,58
and,CCONJ,58
hams,NOUN,58
",",PUNCT,58
shoulder,NOUN,58
and,CCONJ,58
cut,NOUN,58
thereon,ADV,58
",",PUNCT,58
with,ADP,58
bone,NOUN,58
in,ADP,58
),PUNCT,58
meat,NOUN,59
of,ADP,59
sheep,NOUN,59
or,CCONJ,59
goat,NOUN,59
",",PUNCT,59
fresh,ADJ,59
",",PUNCT,59
chill,VERB,59
or,CCONJ,59
freeze,VERB,59
Fresh,PROPN,60
or,CCONJ,60
chill,VERB,60
lamb,NOUN,60
carcase,NOUN,60
and,CCONJ,60
half,NOUN,60
-,PUNCT,60
carcase,NOUN,60
Fresh,PROPN,61
or,CCONJ,61
chill,VERB,61
sheep,NOUN,61
carcase,NOUN,61
and,CCONJ,61
half,NOUN,61
-,PUNCT,61
carcase,NOUN,61
(,PUNCT,61
excl,INTJ,61
.,PUNCT,61
lamb,NOUN,61
),PUNCT,61
Fresh,PROPN,62
or,CCONJ,62
chill,VERB,62
cut,NOUN,62
of,ADP,62
sheep,NOUN,62
",",PUNCT,62
with,ADP,62
bone,NOUN,62
in,ADP,62
(,PUNCT,62
excl,INTJ,62
.,PUNCT,62
carcase,NOUN,62
and,CCONJ,62
half,NOUN,62
-,PUNCT,62
carcase,NOUN,62
),PUNCT,62
Fresh,PROPN,63
or,CCONJ,63
chill,VERB,63
boneless,NOUN,63
cut,NOUN,63
of,ADP,63
sheep,NOUN,63
freeze,ADJ,64
lamb,NOUN,64
carcase,NOUN,64
and,CCONJ,64
half,NOUN,64
-,PUNCT,64
carcase,NOUN,64
freeze,ADJ,65
sheep,NOUN,65
carcase,NOUN,65
and,CCONJ,65
half,NOUN,65
-,PUNCT,65
carcase,NOUN,65
(,PUNCT,65
excl,INTJ,65
.,PUNCT,65
lamb,NOUN,65
),PUNCT,65
frozen,ADJ,66
cut,NOUN,66
of,ADP,66
sheep,NOUN,66
",",PUNCT,66
with,ADP,66
bone,NUM,66
in,ADP,66
(,PUNCT,66
excl,INTJ,66
.,PUNCT,66
carcase,NOUN,66
and,CCONJ,66
half,NOUN,66
-,PUNCT,66
carcase,NOUN,66
),PUNCT,66
freeze,ADJ,67
boneless,NOUN,67
cut,NOUN,67
of,ADP,67
sheep,NOUN,67
Fresh,INTJ,68
",",PUNCT,68
chill,VERB,68
or,CCONJ,68
freeze,VERB,68
meat,NOUN,68
of,ADP,68
goat,NOUN,68
meat,NOUN,69
of,ADP,69
horse,NOUN,69
",",PUNCT,69
asse,NOUN,69
",",PUNCT,69
mule,NOUN,69
or,CCONJ,69
hinny,NOUN,69
",",PUNCT,69
fresh,ADJ,69
",",PUNCT,69
chill,VERB,69
or,CCONJ,69
freeze,VERB,69
edible,ADJ,70
offal,NOUN,70
of,ADP,70
bovine,NUM,70
animal,NOUN,70
",",PUNCT,70
swine,NOUN,70
",",PUNCT,70
sheep,NOUN,70
",",PUNCT,70
goat,NOUN,70
",",PUNCT,70
horse,NOUN,70
",",PUNCT,70
asse,NOUN,70
",",PUNCT,70
mule,NOUN,70
or,CCONJ,70
hinny,NOUN,70
",",PUNCT,70
fresh,ADJ,70
",",PUNCT,70
chill,VERB,70
or,CCONJ,70
freeze,VERB,70
Fresh,PROPN,71
or,CCONJ,71
chill,VERB,71
edible,ADJ,71
offal,NOUN,71
of,ADP,71
bovine,NUM,71
animal,NOUN,71
freeze,PROPN,72
edible,ADJ,72
bovine,NUM,72
tongue,NOUN,72
freeze,PROPN,73
edible,ADJ,73
bovine,NUM,73
livers,NOUN,73
freeze,ADJ,74
edible,ADJ,74
bovine,NOUN,74
offal,NOUN,74
(,PUNCT,74
excl,INTJ,74
.,PUNCT,74
tongue,NOUN,74
and,CCONJ,74
liver,NOUN,74
),PUNCT,74
Fresh,PROPN,75
or,CCONJ,75
chill,VERB,75
edible,ADJ,75
offal,NOUN,75
of,ADP,75
swine,NOUN,75
freeze,ADJ,76
edible,ADJ,76
liver,NOUN,76
of,ADP,76
swine,NOUN,76
edible,ADJ,77
offal,NOUN,77
of,ADP,77
swine,NOUN,77
",",PUNCT,77
frozen,NUM,77
(,PUNCT,77
excl.,NOUN,77
liver,NOUN,77
),PUNCT,77
Fresh,PROPN,78
or,CCONJ,78
chill,VERB,78
edible,ADJ,78
offal,NOUN,78
of,ADP,78
sheep,NOUN,78
",",PUNCT,78
goat,NOUN,78
",",PUNCT,78
horse,NOUN,78
",",PUNCT,78
ass,NOUN,78
",",PUNCT,78
mule,NOUN,78
and,CCONJ,78
hinny,NOUN,78
freeze,ADJ,79
edible,ADJ,79
offal,NOUN,79
of,ADP,79
sheep,NOUN,79
",",PUNCT,79
goat,NOUN,79
",",PUNCT,79
horse,NOUN,79
",",PUNCT,79
ass,NOUN,79
",",PUNCT,79
mule,NOUN,79
and,CCONJ,79
hinny,NOUN,79
meat,ADJ,80
and,CCONJ,80
edible,ADJ,80
offal,NOUN,80
of,ADP,80
fowl,NOUN,80
of,ADP,80
the,DET,80
species,NOUN,80
Gallus,CCONJ,80
domesticus,NOUN,80
",",PUNCT,80
duck,NOUN,80
",",PUNCT,80
geese,NOUN,80
",",PUNCT,80
turkey,NOUN,80
and,CCONJ,80
guinea,NOUN,80
fowl,NOUN,80
",",PUNCT,80
fresh,ADJ,80
",",PUNCT,80
chill,VERB,80
or,CCONJ,80
freeze,VERB,80
Fresh,PROPN,81
or,CCONJ,81
chill,VERB,81
fowl,NOUN,81
of,ADP,81
the,DET,81
species,NOUN,81
Gallus,CCONJ,81
domesticus,NOUN,81
",",PUNCT,81
not,ADV,81
cut,VERB,81
in,ADP,81
piece,NOUN,81
freeze,ADJ,82
fowl,NOUN,82
of,ADP,82
the,DET,82
species,NOUN,82
Gallus,CCONJ,82
domesticus,NOUN,82
",",PUNCT,82
not,PART,82
cut,VERB,82
in,ADP,82
piece,NOUN,82
Fresh,PROPN,83
or,CCONJ,83
chill,VERB,83
cut,NOUN,83
and,CCONJ,83
edible,ADJ,83
offal,NOUN,83
of,ADP,83
fowl,NOUN,83
of,ADP,83
the,DET,83
species,NOUN,83
Gallus,CCONJ,83
domesticus,NOUN,83
freeze,ADJ,84
cut,NOUN,84
and,CCONJ,84
edible,ADJ,84
offal,NOUN,84
of,ADP,84
fowl,NOUN,84
of,ADP,84
the,DET,84
species,NOUN,84
Gallus,CCONJ,84
domesticus,NOUN,84
Fresh,PROPN,85
or,CCONJ,85
chill,VERB,85
turkey,NOUN,85
of,ADP,85
the,DET,85
species,NOUN,85
domesticus,VERB,85
",",PUNCT,85
not,PART,85
cut,VERB,85
in,ADP,85
piece,NOUN,85
freeze,ADJ,86
turkey,NOUN,86
of,ADP,86
the,DET,86
species,NOUN,86
domesticus,VERB,86
",",PUNCT,86
not,PART,86
cut,VERB,86
into,ADP,86
piece,NOUN,86
Fresh,PROPN,87
or,CCONJ,87
chill,VERB,87
cut,NOUN,87
and,CCONJ,87
edible,ADJ,87
offal,NOUN,87
of,ADP,87
turkey,NOUN,87
of,ADP,87
the,DET,87
species,NOUN,87
domesticus,NOUN,87
freeze,ADJ,88
cut,NOUN,88
and,CCONJ,88
edible,ADJ,88
offal,NOUN,88
of,ADP,88
turkey,NOUN,88
of,ADP,88
the,DET,88
species,NOUN,88
domesticus,NOUN,88
Fresh,PROPN,89
or,CCONJ,89
chill,VERB,89
domestic,ADJ,89
ducks,NOUN,89
",",PUNCT,89
not,PART,89
cut,VERB,89
in,ADP,89
piece,NOUN,89
freeze,ADJ,90
domestic,ADJ,90
ducks,NOUN,90
",",PUNCT,90
not,PART,90
cut,VERB,90
in,ADP,90
piece,NOUN,90
Fatty,ADJ,91
liver,NOUN,91
of,ADP,91
domestic,ADJ,91
duck,NOUN,91
",",PUNCT,91
fresh,ADJ,91
or,CCONJ,91
chill,VERB,91
Fresh,PROPN,92
or,CCONJ,92
chill,VERB,92
cut,NOUN,92
and,CCONJ,92
edible,ADJ,92
offal,NOUN,92
of,ADP,92
domestic,ADJ,92
ducks,NOUN,92
(,PUNCT,92
excl,INTJ,92
.,PUNCT,92
fatty,ADJ,92
liver,NOUN,92
),PUNCT,92
freeze,ADJ,93
cut,NOUN,93
and,CCONJ,93
edible,ADJ,93
offal,NOUN,93
of,ADP,93
domestic,ADJ,93
ducks,NOUN,93
Fresh,PROPN,94
or,CCONJ,94
chill,VERB,94
domestic,ADJ,94
geese,NOUN,94
",",PUNCT,94
not,ADV,94
cut,VERB,94
in,ADP,94
piece,NOUN,94
freeze,ADJ,95
domestic,ADJ,95
geese,NOUN,95
",",PUNCT,95
not,PART,95
cut,VERB,95
in,ADP,95
piece,NOUN,95
Fatty,ADJ,96
liver,NOUN,96
of,ADP,96
domestic,ADJ,96
geese,NOUN,96
",",PUNCT,96
fresh,ADJ,96
or,CCONJ,96
chill,VERB,96
Fresh,PROPN,97
or,CCONJ,97
chill,VERB,97
cut,NOUN,97
and,CCONJ,97
edible,ADJ,97
offal,NOUN,97
of,ADP,97
domestic,ADJ,97
geese,NOUN,97
(,PUNCT,97
excl,INTJ,97
.,PUNCT,97
fatty,ADJ,97
liver,NOUN,97
),PUNCT,97
freeze,ADJ,98
cut,NOUN,98
and,CCONJ,98
edible,ADJ,98
offal,NOUN,98
of,ADP,98
domestic,ADJ,98
geese,NOUN,98
meat,ADJ,99
and,CCONJ,99
edible,ADJ,99
offal,NOUN,99
of,ADP,99
domestic,ADJ,99
guinea,NOUN,99
fowl,NOUN,99
",",PUNCT,99
fresh,ADJ,99
",",PUNCT,99
chill,VERB,99
or,CCONJ,99
freeze,VERB,99
meat,ADJ,100
and,CCONJ,100
edible,ADJ,100
offal,NOUN,100
of,ADP,100
rabbit,NOUN,100
",",PUNCT,100
hare,NOUN,100
",",PUNCT,100
pigeon,NOUN,100
and,CCONJ,100
other,ADJ,100
animal,NOUN,100
",",PUNCT,100
fresh,ADJ,100
",",PUNCT,100
chill,VERB,100
or,CCONJ,100
freeze,VERB,100
(,PUNCT,100
excl,INTJ,100
.,PUNCT,100
of,ADP,100
bovine,NUM,100
animal,NOUN,100
",",PUNCT,100
swine,NOUN,100
",",PUNCT,100
sheep,NOUN,100
",",PUNCT,100
goat,NOUN,100
",",PUNCT,100
horse,NOUN,100
",",PUNCT,100
asse,NOUN,100
",",PUNCT,100
mule,NOUN,100
",",PUNCT,100
hinny,NOUN,100
",",PUNCT,100
poultry,NOUN,100
"""",PUNCT,100
fowl,NOUN,100
of,ADP,100
the,DET,100
species,NOUN,100
Gallus,CCONJ,100
domesticus,NOUN,100
"""",PUNCT,100
",",PUNCT,100
duck,NOUN,100
",",PUNCT,100
geese,NOUN,100
",",PUNCT,100
turkey,NOUN,100
and,CCONJ,100
guinea,NOUN,100
fowl,NOUN,100
),PUNCT,100
Fresh,INTJ,101
",",PUNCT,101
chill,VERB,101
or,CCONJ,101
freeze,VERB,101
meat,NOUN,101
and,CCONJ,101
edible,ADJ,101
offal,NOUN,101
of,ADP,101
rabbit,NOUN,101
or,CCONJ,101
hare,NOUN,101
Fresh,INTJ,102
",",PUNCT,102
chill,VERB,102
or,CCONJ,102
freeze,VERB,102
meat,NOUN,102
and,CCONJ,102
edible,ADJ,102
offal,NOUN,102
of,ADP,102
primate,NOUN,102
Fresh,INTJ,103
",",PUNCT,103
chill,VERB,103
or,CCONJ,103
freeze,VERB,103
meat,NOUN,103
and,CCONJ,103
edible,ADJ,103
offal,NOUN,103
of,ADP,103
whale,NOUN,103
",",PUNCT,103
dolphin,NOUN,103
and,CCONJ,103
porpoise,NOUN,103
(,PUNCT,103
mammal,NOUN,103
of,ADP,103
the,DET,103
order,NOUN,103
Cetacea,PROPN,103
),PUNCT,103
",",PUNCT,103
of,ADP,103
manatee,NOUN,103
and,CCONJ,103
dugong,NOUN,103
(,PUNCT,103
mammal,NOUN,103
of,ADP,103
the,DET,103
order,NOUN,103
Sirenia,PROPN,103
),PUNCT,103
and,CCONJ,103
of,ADP,103
seal,NOUN,103
",",PUNCT,103
sea,NOUN,103
lion,NOUN,103
and,CCONJ,103
walruse,NOUN,103
(,PUNCT,103
mammal,NOUN,103
of,ADP,103
the,DET,103
suborder,NOUN,103
Pinnipedia,PROPN,103
),PUNCT,103
Fresh,INTJ,104
",",PUNCT,104
chill,VERB,104
or,CCONJ,104
freeze,VERB,104
meat,NOUN,104
and,CCONJ,104
edible,ADJ,104
offal,NOUN,104
of,ADP,104
reptile,NOUN,104
"""",PUNCT,104
e.g.,X,104
snake,NOUN,104
",",PUNCT,104
turtle,NOUN,104
",",PUNCT,104
crocodile,NOUN,104
"""",PUNCT,104
Fresh,INTJ,105
",",PUNCT,105
chill,VERB,105
or,CCONJ,105
freeze,VERB,105
meat,NOUN,105
and,CCONJ,105
edible,ADJ,105
offal,NOUN,105
of,ADP,105
camel,NOUN,105
and,CCONJ,105
other,ADJ,105
camelid,NOUN,105
[,PUNCT,105
Camelidae,PROPN,105
],PUNCT,105
Fresh,INTJ,106
",",PUNCT,106
chill,VERB,106
or,CCONJ,106
freeze,VERB,106
meat,NOUN,106
and,CCONJ,106
edible,ADJ,106
offal,NOUN,106
of,ADP,106
pigeon,NOUN,106
",",PUNCT,106
game,NOUN,106
",",PUNCT,106
reindeer,NOUN,106
and,CCONJ,106
other,ADJ,106
animal,NOUN,106
(,PUNCT,106
excl,INTJ,106
.,PUNCT,106
bovine,NUM,106
animal,NOUN,106
",",PUNCT,106
swine,NOUN,106
",",PUNCT,106
sheep,NOUN,106
",",PUNCT,106
goat,NOUN,106
",",PUNCT,106
horse,NOUN,106
",",PUNCT,106
asse,NOUN,106
",",PUNCT,106
mule,NOUN,106
",",PUNCT,106
hinny,NOUN,106
",",PUNCT,106
poultry,NOUN,106
"""",PUNCT,106
fowl,NOUN,106
of,ADP,106
the,DET,106
species,NOUN,106
Gallus,CCONJ,106
domesticus,NOUN,106
",",PUNCT,106
duck,NOUN,106
",",PUNCT,106
geese,NOUN,106
",",PUNCT,106
turkey,NOUN,106
",",PUNCT,106
guinea,NOUN,106
fowl,NOUN,106
"""",PUNCT,106
",",PUNCT,106
rabbit,NOUN,106
",",PUNCT,106
hare,NOUN,106
",",PUNCT,106
primate,NOUN,106
",",PUNCT,106
whale,NOUN,106
",",PUNCT,106
dolphin,NOUN,106
and,CCONJ,106
porpoise,NOUN,106
"""",PUNCT,106
mammal,NOUN,106
of,ADP,106
the,DET,106
order,NOUN,106
Cetacea,NOUN,106
"""",PUNCT,106
",",PUNCT,106
manatee,NOUN,106
